Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,RSI,Bollinger_Upper,Bollinger_Lower,Returns,Days_Index,Trendline
2023-07-21,3294.516404269076,3324.3735882172123,3250.9643894439278,3259.916748046875,3770223,3216.503564453125,3241.727788248462,59.802412549117605,3419.3848385801725,3013.6222903260773,-0.02743054794304034,117,3313.9238940643577
2023-07-24,3272.208064842772,3303.6138595568696,3263.5945386003787,3285.515625,1680132,3225.5402099609373,3245.898058415275,59.03335209729475,3423.5097722849027,3027.570647636972,0.0078526167787758,118,3316.943553328441
2023-07-25,3288.1773571100543,3297.1781547485116,3271.4339784982694,3289.774169921875,1272980,3236.078503417969,3250.076735701618,58.504044845332366,3423.3554105602598,3048.801596275678,0.0012961572574701208,119,3319.9632125925236
2023-07-26,3290.935502343613,3310.775864618234,3276.0793316874756,3279.273193359375,1066803,3245.720080566406,3252.8573507166425,57.0601619036528,3419.9615542768493,3071.478606855963,-0.0031920052927977283,120,3322.982871856607
2023-07-27,3285.709228768211,3301.871818636868,3276.127879716648,3287.596435546875,1701769,3254.9042236328123,3256.1658349861887,57.24502649962075,3416.584875211213,3093.2235720544118,0.0025381362566421206,121,3326.0025311206896
2023-07-28,3276.079528479848,3284.4995379135125,3223.817107641469,3247.431884765625,2599831,3257.890673828125,3255.334030203278,58.998986156317606,3416.5226178352896,3099.25872982096,-0.01221699547638333,122,3329.0221903847723
2023-07-31,3256.142121096622,3316.389075359419,3252.754742142087,3311.3564453125,2743678,3265.518908691406,3260.6694983089183,63.66529906674982,3418.6639291746915,3112.3738882081207,0.019684650152866467,123,3332.0418496488555
2023-08-01,3305.1138091135126,3348.6658212394595,3305.1138091135126,3340.9716796875,1956167,3272.8637939453124,3268.3173251068783,66.87040843818482,3425.6715041576235,3120.0560837330013,0.008943535636860567,124,3335.0615089129383
2023-08-02,3324.4219354262386,3335.503456081977,3303.759066285666,3329.9384765625,1914899,3279.1212890625,3274.1860061978896,60.348490696098146,3430.4338560285178,3127.8087220964826,-0.0033023934899178986,125,3338.081168177021
2023-08-03,3309.9532298664494,3322.7768790757273,3259.62645561117,3290.54833984375,2026351,3283.266882324219,3275.7443236879717,36.5518362604816,3430.829801144486,3135.703963503952,-0.011829088433913837,126,3341.1008274411042
